machine_speed,stock_flow,filler_flow,steam_pressure,moisture,ash,caliper,predicted_basis_weight,predicted_deviation_pct,off_spec,change_penalty
832.396,70.045,16.943,5.0,5.949,7.588,92.544,90.72059,9.279411315917969,1,3.0000000000000018
832.396,70.045,16.943,5.1,5.949,7.588,92.544,90.799065,9.200935363769531,1,3.9999999999999982
832.396,72.045,16.943,4.5,5.949,7.588,92.544,90.84736,9.152641296386719,1,4.999999999999998
832.396,72.045,16.943,4.6,5.949,7.588,92.544,90.82903,9.170967102050781,1,4.000000000000002
832.396,72.045,16.943,4.7,5.949,7.588,92.544,90.565186,9.434814453125,1,2.9999999999999964
832.396,72.045,16.943,4.8,5.949,7.588,92.544,90.4911,9.508903503417969,1,2.0
832.396,72.045,16.943,4.9,5.949,7.588,92.544,90.69884,9.301162719726562,1,3.0000000000000053
832.396,72.045,16.943,5.0,5.949,7.588,92.544,90.71231,9.287689208984375,1,4.000000000000002
832.396,72.045,16.943,5.1,5.949,7.588,92.544,90.81373,9.186271667480469,1,4.999999999999998
832.396,74.045,16.943,4.5,5.949,7.588,92.544,90.94403,9.05596923828125,1,5.999999999999998
832.396,74.045,16.943,4.6,5.949,7.588,92.544,90.925705,9.074295043945312,1,5.000000000000002
832.396,74.045,16.943,4.7,5.949,7.588,92.544,90.64904,9.350959777832031,1,3.9999999999999964
832.396,74.045,16.943,4.8,5.949,7.588,92.544,90.56323,9.436767578125,1,3.0
832.396,74.045,16.943,4.9,5.949,7.588,92.544,90.77099,9.229011535644531,1,4.000000000000005
832.396,74.045,16.943,5.0,5.949,7.588,92.544,90.77597,9.224029541015625,1,5.000000000000002
832.396,74.045,16.943,5.1,5.949,7.588,92.544,90.881096,9.118904113769531,1,5.999999999999998
842.396,62.045,16.943,4.5,5.949,7.588,92.544,91.76819,8.2318115234375,1,6.999999999999998
842.396,62.045,16.943,4.6,5.949,7.588,92.544,91.74987,8.250129699707031,1,6.000000000000002
842.396,62.045,16.943,4.7,5.949,7.588,92.544,91.2076,8.792396545410156,1,4.9999999999999964
842.396,62.045,16.943,4.8,5.949,7.588,92.544,91.06822,8.931777954101562,1,4.0
842.396,62.045,16.943,4.9,5.949,7.588,92.544,91.264206,8.735794067382812,1,5.000000000000005
842.396,62.045,16.943,5.0,5.949,7.588,92.544,91.231026,8.768974304199219,1,6.000000000000002
842.396,62.045,16.943,5.1,5.949,7.588,92.544,91.35501,8.644989013671875,1,6.999999999999998
842.396,64.045,16.943,4.5,5.949,7.588,92.544,91.76341,8.236587524414062,1,5.999999999999998
842.396,64.045,16.943,4.6,5.949,7.588,92.544,91.745094,8.254905700683594,1,5.000000000000002
842.396,64.045,16.943,4.7,5.949,7.588,92.544,91.20283,8.797172546386719,1,3.9999999999999964
842.396,64.045,16.943,4.8,5.949,7.588,92.544,91.063446,8.936553955078125,1,3.0
842.396,64.045,16.943,4.9,5.949,7.588,92.544,91.25943,8.740570068359375,1,4.000000000000005
842.396,64.045,16.943,5.0,5.949,7.588,92.544,91.22625,8.773750305175781,1,5.000000000000002
842.396,64.045,16.943,5.1,5.949,7.588,92.544,91.354,8.646003723144531,1,5.999999999999998
842.396,66.045,16.943,4.5,5.949,7.588,92.544,91.750084,8.249916076660156,1,4.999999999999998
